text_id	left_context	modal	right_context
text_132	I	can	still
text_9	You	can	buy
text_122	We	can	learn
text_127	family	cannot	be
text_140	How	can	any
text_83	freedom	can	indeed
text_142	One	can	not
text_1	she	can'	t
text_150	Animals	can'	t
text_47	they	can	get
text_16	that	can	be
text_23	We	cannot	do
text_87	but	can	still
text_1	I	can'	t
text_136	he	can	be
text_117	activist	can	easily
text_105	he	can	do
text_7	You	can	hear
text_37	One	can	hardly
text_64	artists	can	be
text_110	I	can	enjoy
text_126	I	can	see,
text_35	one	cannot	really
text_133	I	can	agree
text_88	music	can	also
text_96	I	can	sniff
text_9	Everybody	can	do
text_46	It	cannot	be
text_34	work	can	be
text_148	one	can	turn
text_115	you	can	surely
text_107	leaders	can	hardly
text_9	goods,	can	try
text_124	he	can	spend.
text_100	we	can	bring
text_111	we	can	not
text_5	you	can	call
text_16	you	can	say ""
text_141	prisons	can	very
text_12	neighbours	can	say ""
text_117	that	can	be
text_28	You	can	watch
text_128	we	can	live
text_89	everyone	can	see
text_57	Nobody	can	believe
text_127	course,	cannot	be
text_143	state	can	pay
text_69	How	can	this
text_62	US,	can	hardly
text_127	you	cannot	speak
text_16	computers	can	be
text_46	country	can	be
text_116	How	can	one
text_78	I	cannot	understand
text_77	education	can	hardly
text_119	and	can	be
text_39	you	can	observe
text_18	I	can	say
text_112	I	can	bear
text_101	one	can'	t
text_51	it	can	happen
text_127	who	cannot	tolerate
text_104	example,	can	afford
text_145	I	can	take
text_54	we	cannot	correct
text_9	Everybody	can	separate
text_124	How	can	anybody
text_43	cans.	Can	I
text_50	I	can'	t
text_65	development,	cannot	be
text_81	language	can	be
text_150	you	can	also
text_128	even	can	acquire
text_34	just	can'	t
text_66	They	can	function
text_83	observation	can	be
text_56	creator	can	end
text_30	you	can	see
text_59	Sport	can	seriously
text_90	they	cannot	be
text_79	men	can	be
text_97	one	can	work
text_31	children	can	not
text_61	it	can	be
text_67	weapons	can	be
text_157	you	can	give
text_22	names	can	be
text_62	schools	can'	t
text_137	jail	can	not
text_96	world	can	really
text_80	who	cannot	stop
text_122	girls	can	not
text_83	They	cannot	cope
text_52	you	can	imagine!
text_132	they	can	themselves
text_63	We	can	forget
text_109	we	can	prolong
text_78	they	can	go
text_98	organism	can	identify
text_71	it	can	give
text_153	music	can	change
text_122	we	can	find
text_76	one	can	easily
text_68	Assessment	can	also
text_84	tobacco	cannot	be
text_127	therefore	cannot	be
text_54	family	can	be
text_86	I	can	mention
text_19	music	can	just
text_68	it	cannot	be
text_76	TV	can	also
text_102	They	can	only
text_17	companies	can'	t
text_40	breakfast?	Can	anyone
text_147	one	can'	t
text_68	schooling	cannot	be
text_91	you	can	and
text_49	simply	can'	t
text_117	petition	can	bean
text_42	you	can	always
text_44	We	can	describe
text_33	pupils	can	only
text_51	anything	can	happen, -
text_129	war	can	be
text_123	wishes	can	be
text_92	truth	can	be
text_104	they	can	get
text_107	reason	can	apperently
text_140	You	cannot	kill
text_2	Colbys	can	easily
text_17	You	can	tell
text_50	you	can	do:
text_74	they	can	hurt.
text_71	controversy	can	be
text_85	what	can	have
text_73	general:	can	parents
text_26	they	can'	t
text_76	it	can	probably
text_103	one	can	speak
text_136	murderer	can	take
text_157	Nobody	can	live
text_159	I	can'	t
text_24	village	can	get
text_155	one	can	afford
text_25	eyes	can	enchant
text_142	this	can	be
text_112	and	cannot	be
text_123	and	cannot	distinguish
text_76	you	can	see
text_46	I	can	still
text_141	one	can	understand
text_65	individual	can	be
text_8	you	can	have
text_39	I	can'	t
text_95	interpretation	cannot	exist
text_14	which	cannot	be
text_59	you	can	easily
text_151	planet	can'	t
text_45	You	can	either
text_100	Scientists	can	not
text_1	I	can	well
text_98	apes	can	express
text_103	they	cannot	be
text_51	you	can	feel
text_53	I	can	give
text_20	we	can	save
text_156	One	can	not
text_30	I	can	only
text_51	you	can	get
text_61	omitted,	can	modify
text_126	that	cannot	be
text_45	you	can	put
text_154	overweight	can	cause
text_81	it	can	be
text_36	heroes	can'	t
text_140	You	can	never
text_48	technology	can	achieve.
text_146	I	cannot	speak
text_35	I	cannot	really
text_104	Drugs	can	compensate
text_8	You	can	find
text_79	sports	can	only
text_130	extent	can	be
text_113	independence	cannot	be
text_157	What	can	be
text_144	she	can	make
text_44	we	cannot	easily
text_49	Everyone	can	lose
text_93	usually	cannot	get
text_70	they	can	put
text_83	people	can	become
text_103	I	cannot	answer
text_21	We	can	only
text_4	it	can	help.
text_127	also	cannot	be
text_99	food.	Can	Christmas
text_134	happiness	can	be
text_13	agressions	can	be
text_159	actions	can	be
text_41	still	can	see
text_102	it	can	be
text_98	animals	can	think.
text_123	Teachers	can	do
text_162	who	cannot	do
text_9	you	can	do.
text_161	harmony	can	be
text_125	behaviour	can	be
text_6	people	cannot	be
text_118	you	can	easily
text_30	result	can	be
text_53	they	cannot	decide
text_45	and	cannot	but
text_152	you	can	pose
text_32	You	can	prove
text_103	that	can	be
text_114	contrary,	can	tell
text_125	it	can	later
text_132	They	can	decide
text_135	it	can	be
text_108	Music	can	be
text_139	conscience	can'	t
text_131	we	can	realize
text_97	You	can	taken
text_47	I	can'	t
text_106	how	can	Presiden
text_54	which	cannot	easily
text_53	you	can	easily
text_9	you	can	count
text_15	he	can	drink.
text_47	you	can	easily
text_66	they	can	also
text_120	entertainment	cannot	be
text_7	results	can	be
text_129	everybody	can	accept
text_86	which	can'	t
text_128	one	can	designate
text_145	I	cannot	overlook
text_29	often	can	be
text_38	which	can'	t
text_55	actually	can'	t
text_75	one	can	deny
text_160	man	can	experience
text_162	I	cannot	do
text_58	life	can	be
text_35	concerned,	can	be
text_130	we	can	argue
text_82	they	can	feel
text_79	sports	can	always
text_79	athletes	can	only
text_10	which	cannot	be
text_112	actually	can	try
text_115	nobody	can	ignore
text_3	we	can	return
text_27	you	can	observe
text_150	You	can	be
text_131	you	can	read
text_72	everybody	can	freely
text_132	woman	can	not
text_77	languages	can	be
text_56	prosecuted?	Can	you
text_149	he	can'	t
text_106	People	can	be
text_101	one	can'	t
text_94	run?	Can	we
text_97	it	cannot	be
text_9	You	can	have
text_153	I	cannot	concentrate
text_83	they	can	retire
text_112	smile	can	help
text_115	one	can	say, ""
text_57	pupils	can	be
text_99	churches	can	not
text_89	I	can	be
text_60	they	can	get
text_138	that	cannot	be
text_142	life	can	be
text_78	it	can	punish
text_87	photograph	can	be
text_128	I	can	imagine
text_97	You	can	check
text_84	masses	can	consume
text_162	one	can	combine
text_98	they	can	do
text_43	I	can	do
text_118	who	can	still
text_31	How	can	you
text_130	tyou	can	share
text_126	definitely	cannot	be
text_158	you	can	only
text_130	they	can	plant
text_121	repetition	can	be
text_11	We	can	buy
text_40	I	cannot	think
text_122	who	can	give
text_66	women	can	follow
text_59	I	can	only
text_92	division	can'	t
text_5	you	can	talk
text_142	I	can	imagine
text_49	you	cannot	afford
